Dia,TESP02,TESP03,TESP05,TESP06,TECE
07/01/2025,233,169,181,139,136
08/01/2025,206,164,175,139,129
09/01/2025,208,167,174,139,138
10/01/2025,208,165,174,139,138
11/01/2025,208,165,174,139,138
12/01/2025,208,165,174,139,138
13/01/2025,208,165,173,139,136
14/01/2025,208,165,173,139,136
15/01/2025,208,165,173,139,131
16/01/2025,208,167,173,131,136
17/01/2025,207,169,173,131,136
18/01/2025,211,169,173,131,136
19/01/2025,211,169,173,131,136
20/01/2025,211,169,173,131,136
21/01/2025,211,174,173,131,146
22/01/2025,211,174,173,169,146
23/01/2025,211,174,172,160,146
24/01/2025,211,174,172,160,146
25/01/2025,211,174,172,160,146
26/01/2025,211,174,172,160,146
27/01/2025,211,174,172,160,146
28/01/2025,211,188,172,160,146
29/01/2025,211,186,172,165,147
30/01/2025,211,186,172,166,147
31/01/2025,211,186,172,166,153
01/02/2025,211,186,172,166,153
02/02/2025,211,186,172,166,153
03/02/2025,212,186,172,166,156
04/02/2025,212,183,172,172,144
05/02/2025,212,183,172,172,144
06/02/2025,212,183,172,172,144
07/02/2025,212,180,172,172,144
08/02/2025,212,180,172,172,144
09/02/2025,185,179,144,96,26
10/02/2025,185,179,144,96,26
11/02/2025,0,2,0,96,26
12/02/2025,0,2,0,96,26
13/02/2025,0,3,0,96,26
14/02/2025,0,0,0,96,26
15/02/2025,0,0,0,96,26
16/02/2025,0,0,0,96,26
17/02/2025,0,0,0,96,26
18/02/2025,2,0,0,96,26
19/02/2025,0,0,0,96,26
20/02/2025,0,0,0,96,26
21/02/2025,0,0,0,96,26
22/02/2025,0,0,0,96,26
23/02/2025,0,0,0,96,26
24/02/2025,0,0,0,96,26
25/02/2025,0,0,0,96,26
26/02/2025,0,0,0,96,26
27/02/2025,0,0,0,96,26
28/02/2025,0,0,0,96,26
01/03/2025,0,0,0,96,26
02/03/2025,0,0,0,96,26
03/03/2025,0,0,0,96,26
04/03/2025,0,0,0,96,26
05/03/2025,0,0,0,96,26
06/03/2025,0,0,0,96,26
07/03/2025,0,0,0,96,26
08/03/2025,0,0,0,96,26
09/03/2025,0,0,0,96,26
10/03/2025,0,0,0,96,26
11/03/2025,0,0,0,96,26
12/03/2025,0,0,0,96,26
13/03/2025,0,0,0,96,26
14/03/2025,0,0,0,96,26
15/03/2025,0,0,0,96,26
16/03/2025,0,0,0,96,26
17/03/2025,0,0,0,96,26
18/03/2025,0,0,0,96,26
19/03/2025,0,0,0,96,26
20/03/2025,0,0,0,96,26
21/03/2025,0,0,0,96,26
22/03/2025,0,0,0,96,26
23/03/2025,0,0,0,96,26
24/03/2025,0,0,0,96,26
25/03/2025,0,0,0,95,26
26/03/2025,0,0,0,95,26
27/03/2025,0,0,0,95,26
28/03/2025,0,0,0,95,26
29/03/2025,0,0,0,95,26
30/03/2025,0,0,0,95,26
31/03/2025,0,0,0,95,26
